Year	DoY	Hour	NEE	LE	H	Rg	Tair	Tsoil	rH	VPD	Ustar
-	-	-	umolm-2s-1	Wm-2	Wm-2	Wm-2	degC	degC	%	hPa	ms-1
2023	55	0.5	2.26	-1.79	27.2	0.0	14.71	17.3	100.0	0.0	0.39
2023	55	1.0	2.26	-1.79	27.2	0.0	14.48	17.3	100.0	0.0	0.2
2023	55	1.5	5.26	3.17	14.28	0.0	14.37	17.3	99.99	0.0	0.4
2023	55	2.0	3.39	-1.57	-11.58	0.0	14.31	17.3	100.0	0.0	0.28
2023	55	2.5	4.57	-11.68	-37.43	0.0	14.04	17.28	100.0	0.0	0.2
2023	55	3.0	1.39	-9.01	-16.46	0.0	13.9	17.22	100.0	0.0	0.18
2023	55	3.5	2.99	-6.34	-9999	0.0	13.87	17.17	100.0	0.0	0.36
2023	55	4.0	4.59	-3.67	-9999	0.0	13.94	17.13	99.97	0.0	0.31
2023	55	4.5	2.81	1.47	-9999	0.0	13.94	17.13	99.92	0.01	0.35
2023	55	5.0	1.09	4.32	-8.54	0.0	13.92	17.13	99.52	0.08	0.27
2023	55	5.5	3.25	-2.83	-16.47	0.0	13.82	17.09	99.06	0.15	0.29
2023	55	6.0	2.26	-9.98	-23.28	0.39	13.68	17.07	98.78	0.19	0.31
2023	55	6.5	2.26	-1.78	-45.51	12.51	13.67	17.06	98.71	0.2	0.5
2023	55	7.0	-0.94	6.54	-4.0	45.19	13.79	16.98	98.45	0.24	0.43
2023	55	7.5	-2.83	15.55	26.19	125.41	13.88	16.9	98.78	0.19	0.61
2023	55	8.0	-4.71	40.73	31.52	147.09	14.03	16.9	97.61	0.38	0.62
2023	55	8.5	-8.91	75.26	36.86	237.97	14.43	16.9	96.43	0.58	0.76
2023	55	9.0	-9.84	112.28	26.18	228.78	14.91	16.9	93.33	1.13	0.67
2023	55	9.5	-11.73	122.14	69.7	318.12	15.31	16.93	92.07	1.38	0.74
2023	55	10.0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2023	55	10.5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2023	55	11.0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2023	55	11.5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2023	55	12.0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2023	55	12.5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2023	55	13.0	-9999	-9999	-9999	390.25	16.65	17.55	87.38	-9999	-9999
2023	55	13.5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2023	55	14.0	-9999	-9999	-9999	635.35	18.11	17.8	79.35	-9999	-9999
2023	55	14.5	-9999	206.47	153.2	369.24	17.87	17.84	80.4	4.0	0.97
2023	55	15.0	-9999	161.45	131.93	-9999	-9999	-9999	-9999	-9999	-9999
2023	55	15.5	-9999	116.42	110.66	522.83	17.63	17.95	78.69	-9999	-9999
2023	55	16.0	-9999	71.39	89.38	345.92	17.85	18.0	78.92	4.3	0.72
2023	55	16.5	-3.8	84.6	20.91	158.74	17.04	18.03	85.95	2.72	0.76
2023	55	17.0	0.3	48.54	24.44	88.98	16.56	18.03	89.89	1.9	0.77
2023	55	17.5	4.4	22.8	4.3	27.24	16.16	17.98	92.88	1.3	0.74
2023	55	18.0	7.41	18.74	0.1	6.12	15.73	17.95	94.81	0.92	0.7
2023	55	18.5	9.83	17.77	-5.42	0.2	15.37	17.93	96.31	0.64	0.96
2023	55	19.0	7.77	10.45	-3.7	0.0	15.13	17.93	96.98	0.52	0.87
2023	55	19.5	5.7	10.61	-5.32	0.0	15.07	17.85	96.29	0.63	0.77
2023	55	20.0	5.14	10.77	-19.96	0.0	14.88	17.8	92.57	1.25	0.86
2023	55	20.5	5.09	10.93	-17.12	0.0	14.75	17.77	92.29	1.29	0.96
2023	55	21.0	3.61	13.37	-24.09	0.0	14.71	17.71	92.99	1.17	0.94
2023	55	21.5	4.9	15.8	-22.8	0.0	14.5	17.6	94.17	0.96	0.91
2023	55	22.0	4.24	18.24	-40.71	0.0	14.3	17.52	93.72	1.02	0.88
2023	55	22.5	3.7	10.92	-30.64	0.0	14.15	17.5	93.97	0.97	0.87
2023	55	23.0	3.91	11.81	-17.41	0.0	14.21	17.44	94.14	0.95	0.86
2023	55	23.5	4.67	12.7	-26.89	0.0	14.13	17.43	94.9	0.82	1.07
2023	56	0.0	4.11	10.17	-26.81	0.0	14.18	17.35	95.06	0.8	1.02
2023	56	0.5	2.42	7.63	-13.0	0.0	14.19	17.3	95.06	0.8	0.96
2023	56	1.0	3.25	15.19	-21.05	0.0	14.19	17.24	95.22	0.77	1.01
2023	56	1.5	4.39	15.67	-18.49	0.0	14.18	17.23	95.58	0.71	1.05
2023	56	2.0	3.52	16.15	-20.68	0.0	14.2	17.23	95.68	0.7	0.95
2023	56	2.5	3.49	7.19	-4.24	0.0	14.12	17.21	96.39	0.58	0.9
2023	56	3.0	4.05	3.53	-8.77	0.0	14.0	17.19	97.97	0.32	0.92
2023	56	3.5	4.29	4.58	-13.69	0.0	14.08	17.12	97.99	0.32	1.0
2023	56	4.0	3.04	7.02	-7.8	0.0	14.08	17.03	97.99	0.32	0.96
2023	56	4.5	3.59	2.65	-11.77	0.0	14.15	17.0	98.21	0.29	0.92
2023	56	5.0	5.55	6.08	-15.74	0.0	14.22	17.0	98.39	0.26	0.92
2023	56	5.5	5.56	3.9	-20.06	0.0	14.23	17.0	98.46	0.25	0.89
2023	56	6.0	5.03	7.04	-15.65	0.08	14.42	17.0	97.84	0.35	0.95
2023	56	6.5	6.68	7.19	-27.79	3.35	14.57	16.98	97.66	0.39	1.03
2023	56	7.0	5.64	10.63	-25.22	18.81	14.79	16.94	95.85	0.7	1.27
2023	56	7.5	2.08	15.92	5.47	62.78	14.81	16.93	95.21	0.8	1.05
2023	56	8.0	-0.29	36.67	24.89	86.25	14.89	16.93	94.07	1.0	1.26
2023	56	8.5	-1.9	59.78	21.7	117.45	14.89	16.93	92.93	1.19	1.15
2023	56	9.0	-6.65	71.92	51.37	157.55	15.26	16.93	91.97	1.39	1.01
2023	56	9.5	-8.96	64.83	85.94	211.08	15.3	16.94	92.03	1.38	1.05
2023	56	10.0	-12.43	97.42	130.11	398.08	15.61	16.99	87.63	2.19	1.16
2023	56	10.5	-18.74	178.98	199.11	477.62	16.38	17.0	80.43	3.63	1.19
2023	56	11.0	-17.2	216.61	310.92	583.31	16.57	17.04	80.49	3.67	1.3
2023	56	11.5	-11.51	154.42	152.09	556.43	16.91	17.09	79.79	3.88	1.05
2023	56	12.0	-16.83	214.1	232.45	456.46	17.04	17.13	79.6	3.95	1.2
2023	56	12.5	-12.33	185.06	127.09	370.54	16.88	17.3	80.98	3.65	1.12
2023	56	13.0	-6.88	88.08	113.68	187.03	16.47	17.44	84.75	2.85	1.09
2023	56	13.5	-12.99	145.75	130.76	386.18	16.65	17.5	83.02	3.21	1.09
2023	56	14.0	-9.9	122.2	129.34	323.93	16.91	17.53	82.42	3.38	1.02
2023	56	14.5	-9.82	133.75	109.76	316.64	16.67	17.57	82.63	3.29	1.05
2023	56	15.0	-6.66	14.88	56.51	135.14	16.09	17.6	90.38	1.75	0.9
2023	56	15.5	-3.5	50.26	55.95	143.31	16.03	17.6	91.53	1.54	0.98
2023	56	16.0	-1.56	38.13	20.26	72.3	16.03	17.61	91.13	1.61	0.91
2023	56	16.5	0.98	25.99	-11.36	27.89	15.51	17.63	96.91	0.54	0.88
2023	56	17.0	3.51	13.86	-9.51	28.11	15.48	17.58	96.85	0.55	0.85
2023	56	17.5	5.09	12.87	-21.57	7.82	15.44	17.56	96.57	0.6	0.81
2023	56	18.0	5.96	17.9	-33.63	1.77	15.16	17.5	97.13	0.49	0.93
2023	56	18.5	6.84	11.57	-40.97	0.08	15.13	17.49	95.92	0.7	0.98
2023	56	19.0	3.96	11.55	-52.88	0.0	14.93	17.47	96.94	0.52	0.81
2023	56	19.5	5.11	11.53	-141.81	0.0	14.86	17.44	97.93	0.35	1.09
2023	56	20.0	4.98	11.5	-230.74	0.0	14.72	17.38	97.83	0.36	1.1
2023	56	20.5	6.38	11.75	-248.87	0.0	14.72	17.37	97.71	0.38	1.32
2023	56	21.0	4.55	12.0	-267.0	0.0	14.69	17.36	97.37	0.44	1.31
2023	56	21.5	4.79	-9999	-285.13	0.0	14.69	17.3	98.22	0.3	1.07
2023	56	22.0	4.93	-9999	-9999	0.0	14.65	17.3	98.7	0.22	1.44
2023	56	22.5	5.06	-9999	-9999	0.0	14.5	17.24	98.39	0.26	1.37
2023	56	23.0	9.17	-9999	-9999	0.0	14.55	17.23	97.59	0.4	1.33
2023	56	23.5	4.12	3.76	-25.06	0.0	14.49	17.23	97.94	0.34	0.82
2023	57	0.0	3.05	12.63	-9.91	0.0	14.5	17.18	98.24	0.29	0.79
2023	57	0.5	1.86	15.18	-9999	0.0	14.59	17.13	98.61	0.23	1.39
2023	57	1.0	6.35	17.74	-9999	0.0	14.69	17.09	99.38	0.1	1.42
2023	57	1.5	5.13	9.88	-9999	0.0	14.8	17.05	99.42	0.1	1.42
2023	57	2.0	3.9	2.03	-149.82	0.0	14.81	17.0	99.18	0.14	1.51
2023	57	2.5	5.64	10.41	-432.48	0.0	14.81	17.0	99.23	0.13	1.5
2023	57	3.0	5.14	-9999	-350.97	0.0	14.8	17.0	99.15	0.14	1.59
2023	57	3.5	4.63	-9999	-269.45	0.0	14.72	17.0	99.2	0.13	1.41
2023	57	4.0	4.13	-9999	-187.94	0.0	14.73	17.0	99.12	0.15	1.45
2023	57	4.5	4.84	-9999	-174.14	0.0	14.84	16.98	99.35	0.11	1.4
2023	57	5.0	5.11	-9999	-85.13	0.0	14.85	16.95	99.69	0.05	1.47
2023	57	5.5	4.4	-9999	-316.16	0.0	14.62	16.93	99.55	0.08	1.45
2023	57	6.0	6.72	-9999	-197.62	0.04	14.19	16.88	99.21	0.13	1.55
2023	57	6.5	6.89	-9999	-153.96	0.62	14.06	16.86	99.32	0.11	1.54
2023	57	7.0	5.88	-9999	-110.3	3.97	14.29	16.83	99.62	0.06	1.39
2023	57	7.5	2.36	13.34	-119.32	23.6	14.3	16.78	99.17	0.13	1.46
2023	57	8.0	4.86	16.23	-128.34	27.05	14.39	16.77	99.05	0.16	1.3
2023	57	8.5	-9999	19.12	-137.36	41.27	14.55	16.77	99.25	0.12	1.4
2023	57	9.0	-9999	22.01	-9999	44.76	14.41	16.77	98.51	0.24	1.63
2023	57	9.5	-9999	18.05	-9999	61.97	14.26	16.77	98.57	0.23	1.29
2023	57	10.0	-9999	109.04	-9999	46.28	14.25	16.75	98.76	0.2	1.52
2023	57	10.5	-9999	78.74	-9999	46.99	14.17	16.74	98.49	0.24	1.43
2023	57	11.0	-9999	48.44	-9999	60.55	14.21	16.72	98.35	0.27	1.31
2023	57	11.5	-9999	18.14	-9999	75.27	14.27	16.71	98.23	0.29	1.45
