date,time,DOY,CHK__1_1_1,DAQM_T_1_1_1,VIN_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RG_1_1_1,RH_1_1_1,RH_2_1_1,RN_1_1_1,SHFSENS_1_1_1,SHFSENS_2_1_1,SHFSENS_3_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,TA_1_1_1,TA_2_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[OTHER],[C],[V],[µmol/m^2/s],[m],[W/m^2],[%],[%],[W/m^2],[OTHER],[OTHER],[OTHER],[W/m^2],[W/m^2],[W/m^2],[m^3/m^3],[m^3/m^3],[m^3/m^3],[K],[K],[K],[K],[K]
2023-02-24,00:30,55.0208,165.900,20.1750,12.2580,-0.362771E-01,0.00000,-0.212054E-03,100.412,100.034,-19.4038,0.616000E-04,0.552565E-04,0.585300E-04,-6.10934,-3.92315,-3.88211,0.291733,0.283000,0.338000,288.138,287.864,290.463,290.450,290.450
2023-02-24,01:00,55.0416,124.000,20.1039,12.2659,-0.385366E-01,0.00000,-0.246186E-03,100.407,100.008,-42.0735,0.616000E-04,0.553452E-04,0.585300E-04,-6.51468,-4.07699,-4.12273,0.291200,0.283000,0.338000,287.863,287.625,290.450,290.450,290.450
2023-02-24,01:30,55.0624,122.867,19.9646,12.2659,-0.413994E-01,0.00000,-0.204792E-03,100.398,99.9898,-22.2796,0.616000E-04,0.553452E-04,0.585300E-04,-6.98733,-4.28102,-4.46665,0.289867,0.282733,0.336933,287.786,287.522,290.450,290.450,290.450
2023-02-24,02:00,55.0833,148.833,19.8589,12.2655,-0.426654E-01,0.00000,-0.389250E-03,100.403,100.031,-36.8958,0.616000E-04,0.553452E-04,0.585300E-04,-7.41664,-4.42708,-4.64088,0.288400,0.281000,0.336000,287.649,287.465,290.450,290.450,290.450
2023-02-24,02:30,55.1041,165.233,19.7365,12.2656,-0.437165E-01,0.00000,-0.192447E-03,100.401,100.043,-47.4572,0.616000E-04,0.553452E-04,0.585300E-04,-7.80123,-4.56916,-4.79404,0.286933,0.281000,0.336000,287.411,287.194,290.407,290.430,290.440
2023-02-24,03:00,55.1249,149.267,19.5016,12.2655,-0.439703E-01,0.00000,-0.380536E-03,100.404,100.070,-52.5044,0.616000E-04,0.553452E-04,0.585300E-04,-8.20553,-4.72000,-4.95238,0.286467,0.281000,0.336000,287.114,287.048,290.350,290.377,290.377
2023-02-24,03:30,55.1458,118.967,19.3096,12.2658,-0.445075E-01,0.00000,-0.173565E-03,100.393,100.063,-21.2462,0.616000E-04,0.553452E-04,0.585300E-04,-8.68948,-4.89858,-5.13588,0.285533,0.280800,0.336000,287.098,287.020,290.270,290.350,290.350
2023-02-24,04:00,55.1666,127.767,19.2622,12.2655,-0.464438E-01,0.00000,-0.247639E-03,100.396,99.9735,-12.5079,0.616000E-04,0.553452E-04,0.585300E-04,-9.20927,-5.10945,-5.35829,0.283567,0.279400,0.335933,287.264,287.090,290.150,290.350,290.350
2023-02-24,04:30,55.1874,117.933,19.3143,12.2656,-0.478391E-01,0.00000,-0.387072E-03,100.411,99.9203,-14.3620,0.616000E-04,0.553452E-04,0.585300E-04,-9.58161,-5.29787,-5.57946,0.282733,0.279000,0.334533,287.365,287.085,290.150,290.350,290.350
