2024;Восход;Зенит;Долгота дня;;Начало астрономических сумерек;Начало навигационных сумерек;Начало гражданских сумерек;Конец гражданских сумерек;Конец навигационных сумерек;Конец астрономических сумерек
01.05;05:24;11:44;18:03;12:38:49;+0:41;04:09;04:36;05:02;18:25;18:51;19:18
02.05;05:24;11:44;18:03;12:39:30;+0:41;04:09;04:35;05:02;18:26;18:52;19:18
03.05;05:23;11:43;18:04;12:40:11;+0:41;04:08;04:35;05:01;18:26;18:52;19:19
04.05;05:23;11:43;18:04;12:40:52;+0:41;04:08;04:34;05:01;18:26;18:52;19:19
05.05;05:23;11:43;18:04;12:41:31;+0:39;04:07;04:34;05:00;18:26;18:53;19:19
06.05;05:22;11:43;18:04;12:42:10;+0:39;04:07;04:33;05:00;18:27;18:53;19:20
07.05;05:22;11:43;18:05;12:42:49;+0:39;04:06;04:33;04:59;18:27;18:53;19:20
08.05;05:21;11:43;18:05;12:43:27;+0:38;04:06;04:32;04:59;18:27;18:54;19:21
09.05;05:21;11:43;18:05;12:44:05;+0:38;04:05;04:32;04:58;18:28;18:54;19:21
10.05;05:21;11:43;18:05;12:44:41;+0:36;04:05;04:32;04:58;18:28;18:55;19:21
11.05;05:20;11:43;18:06;12:45:18;+0:37;04:04;04:31;04:58;18:28;18:55;19:22
12.05;05:20;11:43;18:06;12:45:54;+0:36;04:04;04:31;04:57;18:29;18:55;19:22
13.05;05:20;11:43;18:06;12:46:30;+0:36;04:03;04:30;04:57;18:29;18:56;19:23
14.05;05:19;11:43;18:07;12:47:05;+0:35;04:03;04:30;04:57;18:29;18:56;19:23
15.05;05:19;11:43;18:07;12:47:39;+0:34;04:02;04:30;04:56;18:30;18:56;19:24
16.05;05:19;11:43;18:07;12:48:12;+0:33;04:02;04:29;04:56;18:30;18:57;19:24
17.05;05:19;11:43;18:07;12:48:44;+0:32;04:02;04:29;04:56;18:30;18:57;19:25
18.05;05:18;11:43;18:08;12:49:17;+0:33;04:01;04:29;04:56;18:31;18:58;19:25
19.05;05:18;11:43;18:08;12:49:49;+0:32;04:01;04:28;04:55;18:31;18:58;19:25
20.05;05:18;11:43;18:08;12:50:19;+0:30;04:01;04:28;04:55;18:31;18:58;19:26
21.05;05:18;11:43;18:09;12:50:49;+0:30;04:00;04:28;04:55;18:32;18:59;19:26
22.05;05:18;11:43;18:09;12:51:19;+0:30;04:00;04:28;04:55;18:32;18:59;19:27
23.05;05:18;11:43;18:09;12:51:47;+0:28;04:00;04:27;04:54;18:32;19:00;19:27
24.05;05:17;11:44;18:10;12:52:15;+0:28;03:59;04:27;04:54;18:33;19:00;19:28
25.05;05:17;11:44;18:10;12:52:42;+0:27;03:59;04:27;04:54;18:33;19:00;19:28
26.05;05:17;11:44;18:10;12:53:08;+0:26;03:59;04:27;04:54;18:33;19:01;19:29
27.05;05:17;11:44;18:11;12:53:33;+0:25;03:59;04:27;04:54;18:34;19:01;19:29
28.05;05:17;11:44;18:11;12:53:58;+0:25;03:58;04:26;04:54;18:34;19:02;19:29
29.05;05:17;11:44;18:11;12:54:21;+0:23;03:58;04:26;04:54;18:35;19:02;19:30
30.05;05:17;11:44;18:12;12:54:45;+0:24;03:58;04:26;04:54;18:35;19:02;19:30
31.05;05:17;11:44;18:12;12:55:06;+0:21;03:58;04:26;04:54;18:35;19:03;19:31
01.06;05:17;11:45;18:12;12:55:27;+0:21;03:58;04:26;04:53;18:36;19:03;19:31
02.06;05:17;11:45;18:13;12:55:47;+0:20;03:58;04:26;04:53;18:36;19:03;19:32
03.06;05:17;11:45;18:13;12:56:06;+0:19;03:58;04:26;04:53;18:36;19:04;19:32
04.06;05:17;11:45;18:13;12:56:25;+0:19;03:58;04:26;04:53;18:37;19:04;19:32
05.06;05:17;11:45;18:14;12:56:43;+0:18;03:57;04:26;04:53;18:37;19:05;19:33
06.06;05:17;11:45;18:14;12:56:59;+0:16;03:57;04:26;04:53;18:37;19:05;19:33
07.06;05:17;11:46;18:14;12:57:14;+0:15;03:57;04:26;04:53;18:38;19:05;19:34
08.06;05:17;11:46;18:14;12:57:28;+0:14;03:57;04:26;04:53;18:38;19:06;19:34
09.06;05:17;11:46;18:15;12:57:42;+0:14;03:57;04:26;04:54;18:38;19:06;19:34
10.06;05:17;11:46;18:15;12:57:54;+0:12;03:57;04:26;04:54;18:39;19:06;19:35
11.06;05:17;11:46;18:15;12:58:06;+0:12;03:57;04:26;04:54;18:39;19:07;19:35
12.06;05:17;11:46;18:16;12:58:16;+0:10;03:58;04:26;04:54;18:39;19:07;19:35
13.06;05:17;11:47;18:16;12:58:26;+0:10;03:58;04:26;04:54;18:39;19:07;19:36
14.06;05:18;11:47;18:16;12:58:35;+0:09;03:58;04:26;04:54;18:40;19:08;19:36
15.06;05:18;11:47;18:16;12:58:41;+0:06;03:58;04:26;04:54;18:40;19:08;19:36
16.06;05:18;11:47;18:17;12:58:48;+0:07;03:58;04:26;04:54;18:40;19:08;19:37
17.06;05:18;11:47;18:17;12:58:53;+0:05;03:58;04:27;04:54;18:40;19:08;19:37
18.06;05:18;11:48;18:17;12:58:58;+0:05;03:58;04:27;04:55;18:41;19:09;19:37
19.06;05:18;11:48;18:17;12:59:01;+0:03;03:58;04:27;04:55;18:41;19:09;19:37
20.06;05:19;11:48;18:18;12:59:03;+0:02;03:58;04:27;04:55;18:41;19:09;19:38
21.06;05:19;11:48;18:18;12:59:05;+0:02;03:59;04:27;04:55;18:41;19:09;19:38
22.06;05:19;11:48;18:18;12:59:04;−0:01;03:59;04:27;04:55;18:42;19:09;19:38
23.06;05:19;11:49;18:18;12:59:04;0:00;03:59;04:28;04:56;18:42;19:10;19:38
24.06;05:19;11:49;18:18;12:59:02;−0:02;03:59;04:28;04:56;18:42;19:10;19:38
25.06;05:20;11:49;18:19;12:58:58;−0:04;04:00;04:28;04:56;18:42;19:10;19:39
26.06;05:20;11:49;18:19;12:58:54;−0:04;04:00;04:28;04:56;18:42;19:10;19:39
27.06;05:20;11:49;18:19;12:58:49;−0:05;04:00;04:29;04:56;18:42;19:10;19:39
28.06;05:20;11:50;18:19;12:58:43;−0:06;04:00;04:29;04:57;18:43;19:10;19:39
29.06;05:21;11:50;18:19;12:58:36;−0:07;04:01;04:29;04:57;18:43;19:11;19:39
30.06;05:21;11:50;18:19;12:58:28;−0:08;04:01;04:29;04:57;18:43;19:11;19:39
01.07;05:21;11:50;18:19;12:58:18;−0:10;04:01;04:30;04:57;18:43;19:11;19:39
02.07;05:21;11:50;18:19;12:58:08;−0:10;04:02;04:30;04:58;18:43;19:11;19:39
03.07;05:22;11:51;18:20;12:57:57;−0:11;04:02;04:30;04:58;18:43;19:11;19:39
04.07;05:22;11:51;18:20;12:57:44;−0:13;04:02;04:31;04:58;18:43;19:11;19:39
05.07;05:22;11:51;18:20;12:57:31;−0:13;04:03;04:31;04:59;18:43;19:11;19:39
06.07;05:22;11:51;18:20;12:57:17;−0:14;04:03;04:31;04:59;18:43;19:11;19:39
07.07;05:23;11:51;18:20;12:57:02;−0:15;04:03;04:32;04:59;18:43;19:11;19:39
08.07;05:23;11:51;18:20;12:56:46;−0:16;04:04;04:32;05:00;18:43;19:11;19:39
09.07;05:23;11:52;18:20;12:56:28;−0:18;04:04;04:32;05:00;18:43;19:11;19:39
10.07;05:24;11:52;18:20;12:56:11;−0:17;04:04;04:33;05:00;18:43;19:11;19:39
11.07;05:24;11:52;18:20;12:55:52;−0:19;04:05;04:33;05:01;18:43;19:11;19:39
12.07;05:24;11:52;18:20;12:55:31;−0:21;04:05;04:33;05:01;18:43;19:11;19:39
13.07;05:24;11:52;18:20;12:55:11;−0:20;04:06;04:34;05:01;18:43;19:10;19:39
14.07;05:25;11:52;18:20;12:54:50;−0:21;04:06;04:34;05:01;18:43;19:10;19:38
